gateway_id,receptions,uplinks_heard,region,rssi_med,rssi_best,snr_med,snr_best,has_coords,gw_lat,gw_lon,gc_max_km
italr0001,34,34,EU,-115.0,-109.0,-4.75,-1.5,1,41.70253250763931,-4.708266556262971,187.27657100298967
jfmateos-rak7250-rioseco,33,33,EU,-112.0,-110.0,-4.25,3.75,1,39.9775352459947,-6.04510360141884,91.5297972820783
rio-tormes-1b,29,29,EU,-116.0,-106.0,-3.25,3.5,1,40.968865323719,-5.64232170581818,76.39753112398147
lora-more,28,28,EU,-113.0,-111.0,-6.5,-3.0,1,41.81858911263017,-6.7508557295156235,185.99648253273827
mtcdtip02-l4e1-1,28,28,EU,-110.0,-108.0,-5.8,-2.2,0,,,
cdtic-multitech-6,28,28,EU,-115.0,-105.0,-3.4,3.2,1,40.1338,-5.94651,72.86597304817914
tidop-solar-milesight-001,27,27,EU,-114.0,-107.0,2.9,8.0,1,40.6508109351282,-4.73721027374268,53.123413710850265
mtcdtip02-l4e1-16,25,25,EU,-113.0,-109.0,-6.0,-3.0,0,,,
cicytex-unex-1,25,25,EU,-116.0,-114.0,-5.65,-0.8,0,,,
dlps8-103,25,25,EU,-113.0,-112.0,-6.5,-3.8,0,,,
ext-sg50-012,22,22,EU,-115.0,-108.0,-3.0,4.8,0,,,
meceiot-014-dragout-a84041ffff29d5ba,21,21,EU,-112.0,-106.0,-3.25,1.5,1,41.11715,-4.78439,77.10425311621862
210030,21,21,EU,-116.0,-111.0,-1.35,5.8,0,,,
v3-eui-b827ebfffebf1f02,19,19,EU,-119.0,-117.0,-5.2,-0.8,1,40.13814,-7.50059,191.43505155506173
finca,15,15,US,-118.0,-114.0,-1.2,4.0,0,,,
eui-fcc23dfffe2de1ed,15,15,EU,-117.0,-116.0,-5.0,-3.0,0,,,
mtcdtip02-l4e1-13,14,14,EU,-113.0,-110.0,-7.2,-5.5,0,,,
ext-sg50-002,14,14,US,-115.0,-112.0,-2.1,2.2,0,,,
atd-mls-003,13,13,US,-115.0,-107.0,-2.0,3.5,1,36.75348,-4.02812,47.342554500600315
ext-sg50-026,13,13,EU,-115.0,-114.0,-2.0,-0.5,0,,,
ext-sg50-021,13,13,EU,-116.0,-111.0,-0.75,5.2,0,,,
ext-sg50-016,13,13,EU,-116.0,-113.0,-5.0,-1.8,0,,,
unm-gateway-2,12,12,US,-118.0,-115.0,-3.5,1.2,0,,,
ifapa-d686,12,12,US,-114.0,-110.0,-3.5,1.5,1,37.40081,-4.85583,63.70074730113724
ext-dlos8-007,12,12,EU,-112.0,-111.0,-6.4,-4.5,0,,,
ext-sg50-017,12,12,EU,-114.0,-108.0,1.85,7.8,0,,,
ext-sg50-027,11,11,EU,-116.0,-114.0,-7.2,-3.2,0,,,
etsiit-rak,11,11,US,-100.0,-98.0,1.8,5.0,1,36.71460012615546,-4.477698504924775,20.023295552181292
agritek-a5fa,11,11,US,-118.0,-113.0,-3.8,3.2,1,31.94268856,-116.29838075,221.9264156392284
ext-dlos8-011,11,11,EU,-111.0,-109.0,-7.2,-5.5,0,,,
adismonta-rak7289-alcuescar,10,10,EU,-112.0,-110.0,-6.6,-4.5,0,,,
mikrotikepsa,10,10,EU,-110.5,-107.0,-7.0,-0.5,1,40.65110091852006,-4.679304063320161,147.63293591777082
cicytex-lo-04,10,10,EU,-115.0,-113.0,-5.35,-2.5,0,,,
mtcdtip02-l4e1-11,10,10,EU,-112.5,-111.0,-7.0,-5.8,0,,,
ifapa-d583,10,10,US,-118.0,-117.0,-7.65,-4.8,0,,,
gt-10,10,10,US,-115.0,-113.0,-2.15,1.5,1,32.53891276951074,-116.94288298908596,140.42386359857335
alarad-multitech,10,10,EU,-115.0,-113.0,-7.0,-5.75,0,,,
eui-hdfenergy,9,9,US,-109.0,-107.0,-1.0,2.25,0,,,
ac1f09fffe1058c5,9,9,US,-113.0,-112.0,-5.5,-0.8,0,,,
ctaex-lora-one,9,9,EU,-114.0,-110.0,-6.2,-4.0,0,,,
eui-7076ff0056081d63,9,9,EU,-121.0,-120.0,-7.0,-5.8,0,,,
elecrowgw,8,8,EU,-117.0,-114.0,-7.5,-2.5,0,,,
mtcdtip02-l4e1-12,8,8,EU,-112.0,-110.0,-7.2,-5.8,0,,,
citedi-rak01,8,8,US,-109.0,-107.0,-5.9,-3.0,0,,,
crev01,8,8,US,-119.5,-114.0,-5.65,-1.8,0,,,
dlps8-105,8,8,EU,-113.0,-113.0,-8.15,-4.5,0,,,
rabanales-prolive,8,8,US,-113.0,-111.0,-5.0,1.0,0,,,
atd-mls-001,7,7,US,-119.0,-117.0,-6.2,-3.2,1,36.763839,-4.128103,38.577739557838306
5031395365454751,7,7,EU,-115.0,-114.0,-7.25,-4.75,1,42.195765,-6.006521,220.73867576129112
kenai-instalaciones-y-proyectos,7,7,EU,-111.0,-108.0,-4.75,-2.25,1,40.6244743091053,-3.90243977308273,118.86953215186202
atd-mls-006,6,6,US,-118.5,-117.0,-7.65,-3.8,1,37.2688,-7.19147,239.64508520949892
mtcdtip02-l4e1-4,6,6,EU,-112.0,-110.0,-7.0,-4.0,0,,,
fuenreal-smartalmond,6,6,US,-113.5,-113.0,-5.6,-2.8,0,,,
atd-mls-004,6,6,US,-118.0,-117.0,-7.85,-6.0,1,37.45954,-7.27598,251.22228731948812
router-000008-lg308,6,6,US,-121.5,-119.0,-4.7,-0.8,1,36.8615275221493,-4.15498316287994,33.69460503355225
eui-a84041ffff251210,6,6,US,-111.5,-110.0,-5.7,-4.0,1,37.1943547230777,-6.875614556957453,210.73326294733312
ext-dlos8-003,6,6,US,-113.0,-113.0,-8.2,-5.5,0,,,
etsarquitectura,5,5,US,-112.0,-103.0,3.0,7.0,1,36.72812749835394,-4.4196555018425,20.532675581501284
mtcdtip-l4e1-868-dattera-2,5,5,EU,-114.0,-113.0,-6.5,-4.8,1,40.31007631707678,-3.733453631302837,142.18885910933892
ifapa,5,5,EU/US,-118.0,-116.0,-4.5,-2.2,0,,,
fest-kerlink,5,5,US,-107.0,-103.0,3.0,7.0,1,36.71525376025787,-4.495701491832734,19.6246913689521
cte-escolas-2,5,5,EU,-114.0,-113.0,-8.0,-5.8,1,38.64311,-7.54788,227.3338176403089
luisdelucena,4,4,EU,-116.0,-116.0,-5.5,-5.25,1,40.64196411603373,-3.1820132085638857,179.67776411932374
ext-sg50-020,4,4,EU,-103.5,-102.0,-7.35,-3.8,0,,,
cicytex-unex-2,4,4,EU,-115.5,-114.0,-6.1,-5.2,0,,,
ext-dlos8-025,4,4,US,-108.5,-105.0,-0.6499999999999999,3.8,0,,,
lareina-smartalmond-sg50,4,4,US,-117.0,-117.0,-5.0,-4.2,0,,,
dlps8-119,4,4,EU,-113.0,-112.0,-6.9,-6.0,0,,,
sg50-perte-malpica-04,4,4,EU,-113.5,-111.0,-8.5,-6.0,0,,,
delacalceta-smartalmond,4,4,US,-118.5,-116.0,-8.0,-7.8,0,,,
ies-antonio-gala-palma-del-rio,4,4,US,-118.0,-112.0,-4.8,-3.5,1,37.69985544958225,-5.274265758019731,111.49899305803068
eco-kerlink,3,3,US,-113.0,-111.0,1.0,4.0,1,36.72737938425612,-4.417445361614228,20.701737420886342
ttn-cercedilla,3,3,EU,-118.0,-114.0,-7.0,-5.0,1,40.73906,-4.05709,107.54576288246913
anguillas-smartalmond,3,3,US,-118.0,-117.0,-8.5,-4.5,0,,,
aps-growth-usal,3,3,EU,-111.0,-106.0,-8.0,-7.8,1,40.9604459791695,-5.67081212997437,73.85673694049223
uah-outdoor,3,3,EU,-113.0,-113.0,-7.8,-5.8,1,40.513016253496716,-3.3499574594000614,260.3343663648936
eui-a84041ffff228b44,3,3,US,-118.0,-117.0,-8.5,-8.2,1,36.8248571561759,-6.32017478958428,159.23743997478093
upm-etsime-tellus-001,3,3,EU,-117.0,-115.0,-6.0,-5.5,1,40.4433240038774,-3.70036411460872,231.44963053887213
eui-5030354148104750,3,3,US,-111.0,-111.0,-3.25,-1.5,1,36.965073280321086,-4.130834992613251,36.657713511501925
ext-sg50-013,3,3,EU,-117.0,-115.0,-8.8,-7.2,0,,,
wisgate-los-cerros-e3,3,3,US,-113.0,-111.0,-8.5,-6.8,1,38.01586250073645,-3.383658022157903,161.1512868449637
eui-3133303733004000,3,3,US,-107.0,-103.0,0.75,1.0,1,36.770203,-4.099151,40.753895249758315
gw-valeserrano,3,3,EU,-120.0,-120.0,-8.0,-7.2,0,,,
mmaker-xerocraft,3,3,US,-120.0,-119.0,-4.2,-3.0,1,32.22747589612853,-110.97387677703236,152.94200554634082
italr0002,2,2,EU,-113.5,-112.0,-6.25,-4.5,1,42.0074540232199,-4.55747170209175,219.13430491423532
aciprestes-gw,2,2,EU,-115.0,-115.0,-5.875,-5.25,1,41.2090915448,-7.4329554723,106.43041135096654
gateway-ttn-etsii-usal,2,2,EU,-114.5,-114.0,-8.125,-8.0,1,40.3852372549182,-5.760759661242656,62.48366445383774
meceiot-dragino-lps8n-001,2,2,EU,-119.0,-119.0,-7.25,-7.25,1,40.64962954290437,-4.690829015625737,146.65926997484982
ext-sg50-006,2,2,US,-117.5,-117.0,-7.699999999999999,-7.2,0,,,
qtaseixoa1,2,2,EU,-118.0,-118.0,-7.5,-7.25,1,41.168191098992914,-7.5545961859461395,112.21895087634549
2202-dev1,2,2,US,-114.5,-114.0,-8.9,-8.8,1,33.46823311421213,-117.62623786926271,127.86542918210145
iag-agrotech,2,2,US,-119.0,-119.0,-6.9,-6.8,1,37.7574787684571,-5.40559535662634,
cet-cm-001,2,2,US,-113.5,-113.0,-6.6,-5.0,0,,,
eui-ac1f09fffe1058af,1,1,US,-109.0,-109.0,-5.2,-5.2,0,,,
d4cbe3b8d0d04ecab529bb5fe0713a7e,1,1,US,-122.0,-122.0,-8.2,-8.2,0,,,
terraprima-lora-1-black-lte,1,1,EU,-110.0,-110.0,-8.25,-8.25,0,,,
ifapa-d6bf,1,1,US,-111.0,-111.0,-7.0,-7.0,1,37.56199,-4.82682,79.21721151362819
iesromerovargas2,1,1,US,-115.0,-115.0,-8.0,-8.0,0,,,
503139536f424750,1,1,US,-114.0,-114.0,-6.75,-6.75,1,37.3568290227487,-6.05310315850327,144.51615302475793
621793161295,1,1,US,-122.0,-122.0,-7.5,-7.5,0,,,
a840411f51ac4150,1,1,US,-128.0,-128.0,-7.5,-7.5,0,,,
tid4agro-rak7289-lazarza,1,1,EU,-109.0,-109.0,-8.8,-8.8,0,,,
cicytex-ic007,1,1,EU,-107.0,-107.0,-8.2,-8.2,0,,,
m2-vicente,1,1,EU,-122.0,-122.0,-8.5,-8.5,1,38.689984,-6.646836,184.64811321534685
ext-sg50-003,1,1,EU,-117.0,-117.0,-8.0,-8.0,0,,,
cicytex-uex-agroecologia,1,1,EU,-109.0,-109.0,-8.2,-8.2,0,,,
quintaleda,1,1,EU,-114.0,-114.0,-6.5,-6.5,1,41.0044688820461,-7.01952618357344,65.15676802509473
dlps8-121,1,1,EU,-109.0,-109.0,-8.8,-8.8,0,,,
atd-mls-000,1,1,US,-122.0,-122.0,-8.0,-8.0,0,,,
ext-sg50-009,1,1,US,-118.0,-118.0,-8.0,-8.0,0,,,
etsia-d54b,1,1,US,-120.0,-120.0,-6.8,-6.8,1,36.189429816587435,-5.491463541984559,115.76140370062039
milesight-d499,1,1,US,-121.0,-121.0,-9.5,-9.5,1,36.74992,-6.40049,
cicytex-lo-santa-amalia,1,1,EU,-114.0,-114.0,-8.2,-8.2,0,,,
atd-mls-012,1,1,US,-120.0,-120.0,-9.0,-9.0,1,37.9531158415138,-3.30860261429002,160.21067360328783
grhs-inhabit-gw-mtcdt-l4e1-868-002,1,1,US,-115.0,-115.0,-7.8,-7.8,1,37.88107243390527,-4.779678200482805,112.42614038140002
